date, time, result
8/17/2023,7:14:51 AM,lose
8/17/2023,8:38:01 AM,lose
8/17/2023,8:38:05 AM,lose
8/17/2023,8:43:05 AM,lose
8/17/2023,8:43:08 AM,lose
8/17/2023,8:43:09 AM,lose
8/17/2023,8:43:14 AM,lose
8/17/2023,8:45:21 AM,lose
8/17/2023,8:45:25 AM,win
8/17/2023,8:45:29 AM,win
8/17/2023,8:45:33 AM,win
8/17/2023,8:45:35 AM,lose
8/17/2023,8:45:36 AM,lose
8/17/2023,8:47:41 AM,lose
8/17/2023,8:48:12 AM,lose
8/17/2023,8:48:40 AM,lose
8/17/2023,8:48:42 AM,lose
8/17/2023,8:48:45 AM,win
8/17/2023,8:48:58 AM,lose
8/17/2023,8:49:06 AM,lose
8/17/2023,8:49:08 AM,lose
8/17/2023,8:51:21 AM,lose
8/17/2023,8:51:31 AM,win
8/17/2023,8:51:39 AM,lose
8/17/2023,8:52:28 AM,win
8/17/2023,8:52:33 AM,win
8/17/2023,8:52:35 AM,lose
8/17/2023,8:52:38 AM,win
8/17/2023,8:52:41 AM,lose
8/17/2023,8:52:43 AM,lose
8/17/2023,8:52:45 AM,lose
8/17/2023,8:52:47 AM,lose
8/17/2023,8:52:49 AM,win
8/17/2023,8:52:52 AM,lose
8/17/2023,8:52:53 AM,lose
8/17/2023,8:52:57 AM,lose
8/17/2023,8:52:59 AM,lose
8/17/2023,8:53:10 AM,lose
8/17/2023,8:59:39 AM,lose
8/17/2023,8:59:41 AM,lose
8/17/2023,8:59:41 AM,lose
8/17/2023,8:59:42 AM,lose
8/17/2023,8:59:43 AM,lose
8/17/2023,9:01:35 AM,win
8/17/2023,9:01:40 AM,lose
8/17/2023,9:01:41 AM,lose
8/17/2023,9:01:44 AM,lose
8/17/2023,9:01:48 AM,win
8/17/2023,9:01:55 AM,win
8/17/2023,9:01:59 AM,win
8/17/2023,9:02:35 AM,win
8/17/2023,9:02:41 AM,lose
8/17/2023,9:02:45 AM,lose
8/17/2023,9:02:49 AM,win
8/17/2023,9:02:53 AM,win
8/17/2023,9:02:56 AM,lose
8/17/2023,9:02:58 AM,lose
8/17/2023,9:03:07 AM,lose
8/17/2023,9:03:17 AM,lose
8/17/2023,9:03:20 AM,lose
8/17/2023,9:03:23 AM,lose
8/17/2023,9:03:24 AM,lose
8/17/2023,9:17:35 AM,lose
8/17/2023,9:17:39 AM,lose
8/17/2023,9:17:48 AM,lose
8/17/2023,9:17:50 AM,lose
8/17/2023,9:17:54 AM,win
8/17/2023,9:17:58 AM,lose
8/17/2023,9:18:01 AM,lose
8/17/2023,9:18:03 AM,lose
8/17/2023,9:18:04 AM,lose
8/17/2023,9:18:06 AM,lose
8/17/2023,9:18:09 AM,lose
8/17/2023,9:18:23 AM,lose
8/17/2023,9:18:25 AM,lose
8/17/2023,9:18:29 AM,lose
8/17/2023,9:18:30 AM,lose
8/17/2023,9:18:37 AM,win
8/17/2023,9:18:44 AM,lose
8/17/2023,9:18:48 AM,win
8/17/2023,9:18:50 AM,lose
8/17/2023,9:18:52 AM,win
8/17/2023,9:18:53 AM,lose
8/17/2023,9:19:00 AM,win
8/17/2023,9:19:03 AM,lose
8/17/2023,9:19:06 AM,lose
8/17/2023,9:19:09 AM,lose
8/17/2023,9:19:14 AM,win
8/17/2023,9:19:18 AM,lose
8/17/2023,9:19:21 AM,lose
8/17/2023,9:19:24 AM,lose
8/17/2023,9:19:28 AM,win
8/17/2023,9:19:31 AM,lose
8/17/2023,9:19:33 AM,lose
8/17/2023,9:51:54 AM,lose
8/17/2023,9:51:58 AM,lose
8/17/2023,9:52:01 AM,win
8/17/2023,9:52:03 AM,win
8/17/2023,9:52:06 AM,lose
8/17/2023,9:52:07 AM,lose
8/17/2023,9:52:08 AM,lose
8/17/2023,9:52:08 AM,lose
8/17/2023,9:52:09 AM,lose
8/17/2023,9:52:09 AM,lose
8/17/2023,9:52:10 AM,lose
8/17/2023,9:52:10 AM,lose
8/17/2023,9:52:11 AM,lose
8/17/2023,9:52:11 AM,lose
8/17/2023,9:52:12 AM,lose
